key	query	seed_ortholog	evalue	score	eggNOG_OGs	description	preferred_name	GOs	KEGG_ko	KEGG_pathway	brite	PFAMs
1354	QCI78606.1	1090319.KE386571_gene636	2.98e-78	266.0	COG0308@1|root,COG0308@2|Bacteria,1MUCI@1224|Proteobacteria,2U39Z@28211|Alphaproteobacteria,2KD1X@204457|Sphingomonadales	ERAP1-like C-terminal domain	-	-	-	-	-	ERAP1_C,Peptidase_M1
1354	QCI78607.1	1123240.ATVO01000004_gene1197	1.89e-24	104.0	COG1566@1|root,COG1566@2|Bacteria,1R50C@1224|Proteobacteria,2TUCN@28211|Alphaproteobacteria,2K0QD@204457|Sphingomonadales	Protein of unknown function (DUF3667)	-	-	-	-	-	DUF3667
1354	QCI78609.1	279238.Saro_2830	1.5e-16	75.9	COG2913@1|root,COG2913@2|Bacteria,1N2JT@1224|Proteobacteria,2UD0Q@28211|Alphaproteobacteria,2KA95@204457|Sphingomonadales	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane	-	-	-	-	-	-
1354	QCI78610.1	685778.AORL01000010_gene2603	1.02e-31	118.0	2E3B5@1|root,32YAP@2|Bacteria,1N7KQ@1224|Proteobacteria,2UHG1@28211|Alphaproteobacteria,2K43M@204457|Sphingomonadales	Protein of unknown function (DUF2721)	-	-	-	-	-	DUF2721
1354	QCI78611.1	414684.RC1_1781	2.6e-183	548.0	COG0506@1|root,COG4230@1|root,COG0506@2|Bacteria,COG4230@2|Bacteria,1MV93@1224|Proteobacteria,2TQPT@28211|Alphaproteobacteria,2JPKY@204441|Rhodospirillales	Oxidizes proline to glutamate for use as a carbon and nitrogen source	putA	-	ko:K13821	ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130	ko00000,ko00001,ko01000,ko03000	Aldedh,Pro_dh,Pro_dh-DNA_bdg
1354	QCI78612.1	1266908.AQPB01000030_gene1634	6.49e-54	192.0	COG0506@1|root,COG4230@1|root,COG0506@2|Bacteria,COG4230@2|Bacteria,1MV93@1224|Proteobacteria,1RN48@1236|Gammaproteobacteria,1WXSZ@135613|Chromatiales	Oxidizes proline to glutamate for use as a carbon and nitrogen source	-	-	ko:K13821	ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130	ko00000,ko00001,ko01000,ko03000	Aldedh,Pro_dh,Pro_dh-DNA_bdg
1354	QCI78613.1	1211114.ALIP01000001_gene532	4.23e-20	93.2	COG0506@1|root,COG4230@1|root,COG0506@2|Bacteria,COG4230@2|Bacteria,1MV93@1224|Proteobacteria,1RN48@1236|Gammaproteobacteria,1X36U@135614|Xanthomonadales	Oxidizes proline to glutamate for use as a carbon and nitrogen source	putA	-	ko:K13821	ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130	ko00000,ko00001,ko01000,ko03000	Aldedh,Pro_dh,Pro_dh-DNA_bdg
1354	QCI78614.1	1144305.PMI02_01061	2.17e-121	357.0	COG4989@1|root,COG4989@2|Bacteria,1MY3G@1224|Proteobacteria,2U0C4@28211|Alphaproteobacteria,2K2TQ@204457|Sphingomonadales	Aldo/keto reductase family	-	-	-	-	-	Aldo_ket_red
1354	QCI78615.1	1219049.SP5_034_01000	5.63e-51	164.0	COG0745@1|root,COG0745@2|Bacteria,1QUSA@1224|Proteobacteria,2TW5G@28211|Alphaproteobacteria,2K5A5@204457|Sphingomonadales	response regulator	-	-	ko:K13589	ko02020,ko04112,map02020,map04112	ko00000,ko00001,ko00002,ko02022	Response_reg
1354	QCI78616.1	1479238.JQMZ01000001_gene715	1.17e-57	193.0	COG3741@1|root,COG3741@2|Bacteria,1MY4D@1224|Proteobacteria,2TUPZ@28211|Alphaproteobacteria,43XJ4@69657|Hyphomonadaceae	N-formylglutamate amidohydrolase	MA20_06380	-	ko:K01458	ko00340,ko00630,map00340,map00630	ko00000,ko00001,ko01000	FGase
